Word,Frequency
i,432,
,219,
to,131,
the,109,
like,96,
would,79,
a,77,
and,75,
of,73,
what,72,
wine,64,
my,62,
it,60,
know,59,
want,56,
not,49,
choose,49,
myself,43,
be,42,
t,42,
for,40,
if,39,
that,36,
something,32,
rather,32,
me,32,
have,31,
am,31,
on,31,
bottle,29,
don,29,
own,29,
make,25,
because,24,
with,22,
is,20,
product,20,
m,20,
in,19,
than,19,
retailer,19,
prefer,19,
get,18,
pick,17,
d,16,
more,16,
option,16,
think,15,
even,15,
choice,15,
being,14,
b,14,
control,14,
will,14,
they,14,
decision,13,
feel,13,
getting,13,
about,13,
sure,12,
choices,12,
do,12,
so,12,
products,12,
might,12,
someone,12,
based,11,
able,11,
preferences,11,
chose,11,
can,11,
but,10,
take,10,
very,10,
else,9,
risk,9,
when,9,
at,9,
random,9,
just,9,
may,8,
money,8,
wines,8,
familiar,8,
wanted,7,
good,7,
decisions,7,
was,7,
over,7,
sent,7,
better,7,
or,7,
exactly,7,
s,7,
them,6,
surprised,6,
this,6,
purchase,6,
website,6,
type,6,
having,6,
company,6,
much,6,
send,6,
then,5,
usually,5,
one,5,
buying,5,
wouldn,5,
making,5,
idea,5,
blame,5,
trust,5,
some,5,
comfortable,5,
enjoy,5,
out,5,
since,5,
best,5,
kind,5,
their,5,
chance,5,
enough,5,
instead,5,
select,5,
probably,4,
see,4,
receive,4,
though,4,
going,4,
research,4,
by,4,
spending,4,
while,4,
always,4,
already,4,
didn,4,
also,4,
specific,4,
let,4,
least,3,
choosing,3,
unless,3,
how,3,
satisfied,3,
worried,3,
no,3,
actually,3,
drink,3,
preference,3,
willing,3,
buy,3,
responsibility,3,
paying,3,
things,3,
its,3,
could,3,
as,3,
ll,3,
time,3,
picked,3,
find,3,
fault,3,
different,3,
knowing,3,
only,3,
try,3,
important,3,
seems,3,
dont,3,
really,3,
any,3,
comes,3,
river,2,
bit,2,
shopping,2,
without,2,
receiving,2,
order,2,
worth,2,
knowledgeable,2,
made,2,
store,2,
won,2,
others,2,
evaluate,2,
other,2,
confident,2,
kinds,2,
given,2,
surprise,2,
pay,2,
too,2,
often,2,
finding,2,
purchased,2,
once,2,
never,2,
now,2,
types,2,
certainty,2,
an,2,
happy,2,
occasion,2,
decide,2,
price,2,
options,2,
russian,2,
purchasing,2,
selected,2,
all,2,
unknown,2,
lot,2,
safer,2,
means,2,
feeling,2,
sort,2,
site,2,
these,2,
were,2,
alot,2,
before,2,
valley,2,
experience,2,
go,2,
from,2,
right,2,
most,2,
picking,2,
there,2,
particular,2,
well,2,
general,2,
rely,2,
appeals,2,
adventurous,2,
days,1,
anywhere,1,
placed,1,
taste,1,
expectaion,1,
reason,1,
mercy,1,
unfamiliar,1,
online,1,
100,1,
regards,1,
despite,1,
few,1,
nobody,1,
costs,1,
relying,1,
appealing,1,
looked,1,
unlikely,1,
wants,1,
concerned,1,
factors,1,
totally,1,
met,1,
sake,1,
exact,1,
greater,1,
special,1,
simply,1,
mean,1,
label,1,
charge,1,
times,1,
greatly,1,
reign,1,
expensive,1,
settings,1,
wasting,1,
point,1,
freedom,1,
chosen,1,
has,1,
part,1,
spontaneity,1,
personally,1,
responsible,1,
difficult,1,
comparing,1,
read,1,
use,1,
rarely,1,
2,1,
understanding,1,
spend,1,
those,1,
completely,1,
every,1,
desire,1,
who,1,
whether,1,
chanve,1,
opposed,1,
reviews,1,
applicable,1,
looks,1,
beneficial,1,
disliking,1,
distinct,1,
confusion,1,
covid,1,
cheaper,1,
he,1,
cooking,1,
our,1,
future,1,
occassion,1,
wasted,1,
poor,1,
knew,1,
still,1,
honestly,1,
lack,1,
tend,1,
informative,1,
after,1,
finish,1,
meant,1,
describe,1,
certainly,1,
selects,1,
spoke,1,
none,1,
tasted,1,
particularly,1,
doesn,1,
spent,1,
firsthand,1,
possibly,1,
strongly,1,
partly,1,
same,1,
ever,1,
line,1,
destiny,1,
surety,1,
according,1,
drank,1,
interests,1,
intricately,1,
learning,1,
enjoying,1,
data,1,
considering,1,
compared,1,
give,1,
food,1,
thus,1,
allowing,1,
true,1,
new,1,
small,1,
process,1,
saw,1,
rid,1,
fan,1,
gift,1,
way,1,
interesting,1,
bunch,1,
wanting,1,
big,1,
terrible,1,
expect,1,
superior,1,
here,1,
nice,1,
depending,1,
freak,1,
package,1,
noir,1,
off,1,
base,1,
stability,1,
whereas,1,
up,1,
isn,1,
fact,1,
believe,1,
job,1,
words,1,
unfamiliare,1,
scenario,1,
useful,1,
huge,1,
life,1,
case,1,
chosing,1,
free,1,
nothing,1,
premium,1,
certain,1,
therefore,1,
figure,1,
felt,1,
bottled,1,
taking,1,
reliable,1,
surprising,1,
cannot,1,
afraid,1,
tasting,1,
trying,1,
normal,1,
pertinent,1,
especially,1,
fun,1,
leaving,1,
again,1,
benefits,1,
stock,1,
review,1,
needed,1,
offerings,1,
available,1,
previous,1,
handing,1,
work,1,
described,1,
blind,1,
confidence,1,
pair,1,
white,1,
change,1,
predictability,1,
number,1,
disappointed,1,
personal,1,
labels,1,
mystery,1,
tasty,1,
algorithm,1,
pandemic,1,
are,1,
features,1,
mad,1,
sold,1,
understand,1,
prior,1,
emotions,1,
desires,1,
your,1,
favorite,1,
ensure,1,
open,1,
involved,1,
knows,1,
pinot,1,
reasonable,1,
gifts,1,
algorithms,1,
flavor,1,
somewhat,1,
end,1,
picky,1,
tried,1,
regret,1,
must,1,
matching,1,
does,1,
lower,1,
box,1,
sense,1,
surprises,1,
feelings,1,
seller,1,
orders,1,
had,1,
recommendation,1,
browsing,1,
did,1,
large,1,
taker,1,
vineyard,1,
thing,1,
through,1,
brand,1,
received,1,
where,1,
instincts,1,
state,1,
came,1,
